"title","desciption","tags"
"مدرسه دانشمند کوچولو","<p>سیستم آموزشی مدارس دانشمند کوچولو بر پایه تجربه علوم و مهارت ها و فناوری های مختلف شکل گرفته تا در پس این تجربه، کودک بتونه استعدادهای واقعی خودش رو کشف کنه. برای مثال کمتر کودکی این فرصت رو پیدا می کنه که از زاویه دوربین یک فیلم ساز جهان خودش رو کشف کنه و یا به کمک ترفند های معماری با توانایی های ذهنی و دستورزی خودش آشنا بشه. و یا اینکه به کمک تجربه داد و ستد اقتصادی با مفاهیم ریاضی و اخلاقی مانوس بشه. ما بدنبال پیاده سازی یک سیستم باز و نوآور هستیم تا مطابق با سطح پیشرفت جامعه به نیازهای آموزشی و تربیتی بپردازه و برای این منظور بسیاری از موضوعات مختلف را مورد توجه قرار دادیم. مهارتها، علوم و موضوعاتی برای تجربه، لذت و رشد.</p>","مدرسه-ریاضی-علوم-دبستان-مجتمع دانشمند کوچولو-پیش دبستانی-مهدکودک-کودکان-کودک"
"باشگاه شطرنج ذهن برتر","<p>با مدیریت استاد رضا پاشانجاتی، تنها داور بین المللی و مربی درجه 1 خراسان بزرگ برگزاری کلاس های آموزش شطرنج مقدماتی و پیشرفته زیر نظر داور و مربی در استان خراسان برخی از افتخارات باشگاه ذهن برتر : 1- انتخاب و انتصاب استاد و داور فدراسیون جهانی شطرنج رضا پاشانجاتی به عنوان تنها عضو خانواده شطرنج شرق کشور به عنوان عضو اصلی یکی از کمیته های اصلی و تخصصی فدراسیون شطرنج ایران) به عنوان عضو کمیته داوران فدراسیون شطرنج ایران 2- کسب و احراز عنوان داور بین المللی (بالاترین عنوان داوری در جهان) توسط استاد رضا پاشانجاتی 3- انتصاب استاد رضا پاشانجاتی به عنوان رئیس هیات شطرنج کارگران خراسان رضوی 4- کسب عنوان اولین آموزگار فدراسیون جهانی شطرنج در خراسان بزرگ توسط استاد مصطفی رحمتی 5- کسب تنها مدال خراسان بزرگ در مسابقات قهرمانی کشور 8 تا 18 سال دختران و پسران کشور توسط وصال حامدی نیا در رده سنی زیر 16 سال و راهیابی به تیم ملی نوجوانان ایران 6-انتخاب سرکار خانم وصال حامدی نیا در تیم ملی نوجوانان ایران و اعزام به مسابقات جهانی روسیه 7- حضور جناب آقای مجید حامدی نیا به عنوان سرپرست تیم ملی جوانان زیر 20 سال در مسابقات آسیایی هندوستان 13 تا 22 اردیبهشت 1395 باشگاه شطرنج ذهن برتر در شهر مشهد و در محله امامت واقع شده است.</p>",NULL
"باشگاه تنیس آستان قدس"," امکان بازی زیر نور پرژکتور در مجموعه آستان قدس در شب&#10;مدت استفاده ۱ ساعت&#10;امکان استفاده از توپ و راکت به صورت رایگان&#10;امکان استفاده از مربی آموزشی در طول تمرین با پرداخت هزینه جداگانه&#10;وجود فروشگاه تنیس و محصولات متنوع و دستگاه زه کشی باشگاه تنیس آستان قدس در شهر مشهد و در محله بلوار فردوسی واقع شده است.","کلاس تنیس خاکی-آموزش تنیس خاکی به صورت خصوصی-کلاس تنیس خاکی خصوصی-کلاس تنیس-"
"آموزشگاه تستی","<p><a href=""https://nikaro.ir"" target=""_blank"" rel=""noopener"">نیکارو</a>آ<span class=""fr-class-highlighted"">موزشگاه کامپیوتر مشهد سیستم واقع در شهر مشهد و در بلوار پیروزی میباشد</span>. دوره&zwnj;های ICDL شامل هفت مهارت هستند که می&zwnj;توان گفت یادگیری آن&zwnj;ها از الزامات زندگی امروزی است. این هفت مهارت عبارتند از: - مبانی کامپیوتر: در این دوره با مفاهیمی مثل اینکه سخت افزار چیست، نرم افزار چیست، انواع آن&zwnj;ها، اجزای هر یک و خلاصه مفاهیم کلی کامپیوتر آشنا خواهید شد. - Windows: در این دوره کار با سیستم عامل ویندوز را فراخواهید گرفت. - Internet: در این دوره یاد خواهید گرفت که چطور در اینترنت بگردید، ایمیل بسازید، وبلاگ بسازید و مباحث مرتبط با اینترنت... این سه مهارت، ICDL2 را تشکیل می&zwnj;دهند. که ممکن است شما با توجه به اینکه آن&zwnj;ها را به صورت تجربی یاد گرفته&zwnj;اید، نیازی به گذراندن این دوره&zwnj;ها نداشته باشید. البته فراموش نکنید که مدرکی که در انتهای این دوره&zwnj;ها داده می&zwnj;شود، در خیلی از مراکز لازم بوده و باعث افزایش مزایای شما خواهد شد. مثلاً اگر در یک شرکت صنعتی مشغول به کار شوید، ارائه این مدارک ممکن است باعث افزایش جایگاه و حقوق شما شود. چهار دوره بعدی را در اصطلاح ICDL1 می&zwnj;نامند: - Word: در این دوره با نرم افزار طراحی اسنادی مثل پایان&zwnj;نامه&zwnj;ها، تحقیق&zwnj;ها، کتب و ... آشنا می&zwnj;شوید. مثلاً این کتاب آموزشی توسط نرم افزار وُرد ایجاد شده است:&nbsp; - Excel: در این دوره با نرم افزار اِکسِل آشنا می&zwnj;شوید و خواهید توانست امور حسابداری در حد مراکز کوچک، گزارش و آمارگیری، رسم نمودار و ... را انجام دهید. مثلاً این فایل حسابداری توسط اکسل ایجاد شده است: - PowerPoint: در این دوره با پاورپوینت یعنی نرم افزار تهیه اسلایدهای ویژه سمینارها و کلاس&zwnj;ها آشنا خواهید شد. <a href=""nikaro.ir"">ممکن است بخواهید از دانسته&zwnj;های خود برای تولید برنامه&zwnj;های آموزشی نیز استفاده کنید.</a> به طور مثال این اسلایدها توسط پاورپوینت ایجاد شده است:&nbsp; Access: اَکسِس نرم افزاری نسبتاً پیشرفته جهت تولید برنامه&zwnj;های کاربردی در حد کوچک است. مثلاً می&zwnj;توانید یک نرم افزار مدیریت کتابخانه تولید کنید. مثلاً این نرم افزار مدیریت کتابخانه توسط اکسس ایجاد شده است.</p>",NULL
"آموزشگاه زبان خیام","<p style=""margin-top: 0px; margin-bottom: 0px; padding: 0px; border: 0px; outline: 0px; font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: 23px; vertical-align: baseline; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; direction: rtl;"">آموزشگاه &nbsp;زبان &nbsp;خیام کار خود را از سال 1387 و با هدف ایجاد انقلاب و تفاوت&lrm; &lrm;های بنیادین در زمینه آموزش زبان های خارجی و با محوریت آموزش زبان انگلیسی &nbsp;به کلیه گروه های سنی آغاز نمود. مرکز تخصصی آموزش زبانهای خارجی خیام با سابقه ای بیش از 10 سال یکی از معتبرترین مراکز تخصصی آموزش زبانهای خارجی &nbsp;می&zwnj;باشد. این مرکز با تکیه بر دانش و تجربه بالای مدیران آموزشی خود به همراه تدوین بهترین شیوه&zwnj;های آموزشی و انتقال پیشرفته&zwnj;ترین متد آموزشی به اساتید و بهره گیری از دانش اساتید با سطح علمی تحصیلات تکمیلی و بالاترین سطوح آکادمیک توانائی خود را به متقاضیان دوره&zwnj;های عمومی وتخصصی آموزش زبان انگلیسی در کلیه مقاطع (مقدماتی تا &nbsp;پیشرفته) برای کلیه سنین (3 سال به بالا) با سطح رضایت بسیار عالی به اثبات رسانده است.</p>
<p style=""margin-top: 0px; margin-bottom: 0px; padding: 0px; border: 0px; outline: 0px; font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: 23px; vertical-align: baseline; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; direction: rtl;"">&nbsp;</p>
<p style=""margin-top: 0px; margin-bottom: 0px; padding: 0px; border: 0px; outline: 0px; font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: 23px; vertical-align: baseline; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; direction: rtl;"">نگاه کوتاهی به دوره های آموزشی منحصر به فرد آموزشگاه &nbsp;زبان خیام اثبات کننده این حقیقت است که مدیران ارشد و دست اندرکاران خیام در زمره برجسته ترین و متخصص ترین نیروهای زبانی در کشور بوده و هریک مدارک و افتخارات متعدد علمی و بین المللی را دارا می باشند.&nbsp;</p>
<p style=""margin-top: 0px; margin-bottom: 0px; padding: 0px; border: 0px; outline: 0px; font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: 23px; vertical-align: baseline; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; direction: rtl;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; border-style: initial; border-color: initial; border-image: initial; outline-color: initial; outline-style: initial;"">همواره گفته ایم و عمل کرده ایم: کیفیت در آموزش تضمین ماست.</span></span></p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt-ترکی-مکالمه-بحث آزاد"
"آموزشگاه خوشنویسی انجمن خوشنویسان (مرکزی)"," یکی از موسسات حرفه ای آموزش خوش خطی، که خطاطی را در زبان های مختلف (خطاطی انگلیسی، آلمانی و … ) هم آموزش می دهد. این مرکز تاکنون موفق به آموزش و تربیت قریب 1000 نفر هنرجو و مربی خوشنویسی غیرفارسی در سبکهایی همچون هندرایتینگ، کاپرپلیت و گوتیک در تهران و دیگر شهرهای ایران گردیده است، و امید است با کارگروهی که در همین مرکز آموزش دیده اند بتوانند فصلی نو را در ارتقای هنر زیبا نویسی غیرفارسی را در ایران رقم بزنند. آموزشگاه خوشنویسی انجمن خوشنویسان (مرکزی) واقع درشهر مشهد و در محله آزادشهر است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی انجمن خوشنویسان (هنرستان)"," یکی از موسسات حرفه ای آموزش خوش خطی، که خطاطی را در زبان های مختلف (خطاطی انگلیسی، آلمانی و … ) هم آموزش می دهد. این مرکز تاکنون موفق به آموزش و تربیت قریب 1000 نفر هنرجو و مربی خوشنویسی غیرفارسی در سبکهایی همچون هندرایتینگ، کاپرپلیت و گوتیک در تهران و دیگر شهرهای ایران گردیده است، و امید است با کارگروهی که در همین مرکز آموزش دیده اند بتوانند فصلی نو را در ارتقای هنر زیبا نویسی غیرفارسی را در ایران رقم بزنند. آموزشگاه خوشنویسی انجمن خوشنویسان (هنرستان) واقع درشهر مشهد و در محله هنرستان است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی الف","<p>آموزشگاه خوشنویسی الف در محدوده بلوار وکیل آباد و بلوار صیاد شیرازی واقع شده است و تحت نظر آقای سعید خادمی عضو انجمن خوشنویسان ایران با مجوز از وزارت فرهنگ و ارشاد اسلامی فعالیت میکند. در این مجموعه کلاسهای خوشنویسی شامل آموزش با قلم نی، خودکار و نقاشیخط برگزار میشود. یکی از موسسات حرفه ای آموزش خوش خطی، که خطاطی را در زبان های مختلف (خطاطی انگلیسی، آلمانی و &hellip; ) هم آموزش می دهد. این مرکز تاکنون موفق به آموزش و تربیت قریب 1000 نفر هنرجو و مربی خوشنویسی غیرفارسی در سبکهایی همچون هندرایتینگ، کاپرپلیت و گوتیک در تهران و دیگر شهرهای ایران گردیده است، و امید است با کارگروهی که در همین مرکز آموزش دیده اند بتوانند فصلی نو را در ارتقای هنر زیبا نویسی غیرفارسی را در ایران رقم بزنند. آموزشگاه خوشنویسی الف واقع درشهر مشهد و در محله صیاد شیرازی است.</p>","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی انجمن خوشنویسان (فرامرز)"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی انجمن خوشنویسان (فرامرز) واقع درشهر مشهد و در محله فرامرز عباسی است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
"آموزشگاه خوشنویسی انجمن خوشنویسان (راهنمایی)"," یکی از آموزشگاه های معتبر در زمینه خوشنویسی و خطاطی میباشد. از نقاط قوت آن حضور اساتید باتجربه، محیط مناسب آموزشی است.   آموزشگاه خوشنویسی انجمن خوشنویسان (راهنمایی) واقع درشهر مشهد و در محله راهنمایی است.","کلاس خوشنویسی-کلاس خطاطی-آموزش خوشنویسی با خودکار-کلاس خوشنویسی انجمن خوشنویسی"
